cell_id,ticker,year,column,value_state,source_class,evidence_level,source_artifact,source_field,source_effective_year,source_retrieved_at,transform_id,upstream_cells,resolution_note
MIATK|2021|next_year_top_10pct_returner,MIATK,2021,next_year_top_10pct_returner,present,derived,cell_verified,data/trusted_clean/company_year_returns.csv,next_year_top_10pct_returner,2021,,T_RANK_WITHIN_YEAR,,
MIATK|2021|next_year_top_20pct_returner,MIATK,2021,next_year_top_20pct_returner,present,derived,cell_verified,data/trusted_clean/company_year_returns.csv,next_year_top_20pct_returner,2021,,T_RANK_WITHIN_YEAR,,
MIATK|2021|next_year_bist100_return_pct,MIATK,2021,next_year_bist100_return_pct,present,derived,derived_chain,,,,,T_SHIFT_T1,MIATK|2022|benchmark_same_year_return_pct,derived_from_dataset_cells
MIATK|2021|next_year_excess_return_vs_bist100,MIATK,2021,next_year_excess_return_vs_bist100,present,derived,derived_chain,,,,,T_RATIO,MIATK|2021|next_year_return_pct;MIATK|2021|next_year_bist100_return_pct,derived_from_dataset_cells
MIATK|2021|next_year_outperform_bist100,MIATK,2021,next_year_outperform_bist100,present,derived,derived_chain,,,,,T_RATIO,MIATK|2021|next_year_excess_return_vs_bist100,derived_from_dataset_cells
MIATK|2021|same_year_return_pct,MIATK,2021,same_year_return_pct,present,derived,cell_verified,data/trusted_clean/company_year_returns.csv,same_year_return_pct,2021,,T_COPY,,
MIATK|2021|target_year,MIATK,2021,target_year,present,derived,cell_verified,data/trusted_clean/company_year_returns.csv,target_year,2021,,T_SHIFT_T1,,
MIATK|2021|has_target,MIATK,2021,has_target,present,derived,derived_chain,,,,,T_RATIO,MIATK|2021|next_year_return_pct,derived_from_dataset_cells
MIATK|2021|is_inference_row,MIATK,2021,is_inference_row,present,derived,derived_chain,,,,,T_RATIO,MIATK|2021|next_year_return_pct,derived_from_dataset_cells
MIATK|2021|is_public_universe,MIATK,2021,is_public_universe,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
MIATK|2021|is_training_universe,MIATK,2021,is_training_universe,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
MIATK|2021|universe_source,MIATK,2021,universe_source,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
MIATK|2022|ticker,MIATK,2022,ticker,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
MIATK|2022|company_name,MIATK,2022,company_name,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
MIATK|2022|year,MIATK,2022,year,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
MIATK|2022|sector,MIATK,2022,sector,null,metadata,column_asserted,,,,,T_NULL_PRESERVED,,null_preserved
MIATK|2022|indices,MIATK,2022,indices,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
MIATK|2022|is_bist100,MIATK,2022,is_bist100,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
MIATK|2022|benchmark_same_year_return_pct,MIATK,2022,benchmark_same_year_return_pct,present,yahoo_fetch,cell_verified,data/trusted_raw/bist100_benchmark_returns.csv,bist100_return_pct,2022,,T_COPY,,
MIATK|2022|current_assets,MIATK,2022,current_assets,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,current_assets,2022,,T_COPY,,
MIATK|2022|current_ratio,MIATK,2022,current_ratio,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,current_ratio,2022,,T_COPY,,
