surface_id,operator,q,metric_scope,window_condition_id,split,year,model,kind,n,split_count,observed_ic,bootstrap_ci_95_low,bootstrap_ci_95_high,permutation_p_value_two_sided,observed_null_percentile,bonferroni_adjusted_p_value,significant_fwer_0_05,delta_observed_ic,delta_n,delta_split_count,significance_verdict_changed
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2023,test_2023,2023,random_forest,ml,80,,-0.15833797289053067,-0.36428288949476223,0.066260276808575422,0.16128387161283872,7.9800000000000004,,,-0.011697482933211156,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2024,test_2024,2024,random_forest,ml,80,,-0.17210602500310188,-0.36885882071112885,0.042351234156342829,0.13098690130986901,6.3899999999999997,,,0.00058603250137259644,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2025,test_2025,2025,random_forest,ml,80,,-0.11801522512641192,-0.33610209603346852,0.11447230730355926,0.29487051294870514,14.199999999999999,,,0.022503648052707423,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,pooled,pooled,pooled,,random_forest,ml,240,3,-0.14948640767334817,-0.27035888978534106,-0.021344107767043409,0.0217978202179782,1.1399999999999999,0.1307869213078692,False,0.0037973992069562645,0,0,False
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2023,test_2023,2023,ridge,ml,80,,-0.01601068942515434,-0.24347286817982877,0.21539010113587648,0.88491150884911507,44.990000000000002,,,-0.00768888159802434,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2024,test_2024,2024,ridge,ml,80,,0.20318799812470698,-0.025739657202889472,0.42132570852832524,0.063393660633936602,96.890000000000001,,,-0.014955461790904845,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2025,test_2025,2025,ridge,ml,80,,0.0014299109235818097,-0.22724191316178366,0.23290725082281005,0.99040095990400956,50.825000000000003,,,-0.066713548992029997,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,pooled,pooled,pooled,,ridge,ml,240,3,0.062869073207711471,-0.071021521997261847,0.19641222425763355,0.33606639336066391,83.170000000000002,1,False,-0.029785964126986406,0,0,False
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2023,test_2023,2023,robust_rank_aggregation,baseline,80,,0.081004341389905754,-0.13885330942878601,0.28360913949581629,0.47515248475152483,76.430000000000007,,,-0.006901503933481351,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2024,test_2024,2024,robust_rank_aggregation,baseline,80,,0.19394245532461774,-0.023439050953218868,0.39242361303113538,0.083791620837916206,96.010000000000005,,,-0.001486597382793664,0,,
