arm,carrier,ic_injected,repetition,injection_seed,permutation_seed,injected_dataset_sha256,permutation_p_value_two_sided,bonferroni_adjusted_p_value,detected,n_ic_injected,ic_raw_carrier,n_ic_raw_carrier,ratio_to_injected_ic_raw_carrier,ic_panel_carrier,n_ic_panel_carrier,ratio_to_injected_ic_panel_carrier,ic_model_input_carrier,n_ic_model_input_carrier,ratio_to_injected_ic_model_input_carrier,ic_model_prediction,n_ic_model_prediction,ratio_to_injected_ic_model_prediction,ic_final_evaluation,n_ic_final_evaluation,ratio_to_injected_ic_final_evaluation
secondary,current_ratio,0.20000000000000001,40,43020183,82,105478da32eecd0b702ec28b5e45b1c3747753307544c7375d1d312903a5e9fd,0.086291370862999997,0.43145685431500003,False,,0.15552112477999999,120,0.77760562389999999,0.15552112477999999,120,0.77760562389999999,0.12251267880400001,240,0.61256339402000004,0.112111271965,240,0.56055635982399998,0.112111271965,240,0.56055635982399998
secondary,current_ratio,0.20000000000000001,41,43020184,83,c4de9f8ed784fb8dd41222d87f78745b5c3a55231c7fee51c18015115415541c,0.13588641135900001,0.67943205679399998,False,,0.14049894859000001,120,0.70249474295000003,0.14049894859000001,120,0.70249474295000003,0.076907322052000002,240,0.38453661026000002,0.096452664314,240,0.482263321568,0.096452664314,240,0.482263321568
secondary,current_ratio,0.20000000000000001,42,43020185,84,fe4956c03bc357103ed0910405aed767de03fa4054cafaa6337a4c9404a6b8ce,0.054894510548999999,0.27447255274499999,False,,0.22644062244400001,120,1.13220311222,0.22644062244400001,120,1.13220311222,0.156847923221,240,0.78423961610600001,0.122878704095,240,0.61439352047399998,0.122878704095,240,0.61439352047399998
secondary,current_ratio,0.20000000000000001,43,43020186,85,8fa95b08f1aaa3767008c6ae400231db657d1148c182efaa87f0dbe6fe6c37b7,0.19678032196799999,0.98390160983899999,False,,0.092819201000999996,120,0.46409600500600001,0.092819201000999996,120,0.46409600500600001,0.052978661582,240,0.26489330790900001,0.083458656012999996,240,0.41729328006299998,0.083458656012999996,240,0.41729328006299998
secondary,current_ratio,0.20000000000000001,44,43020187,86,7f686a5c50020a4171803b6238c5a576a1aeecc7b440b8d1d6a64f545067ba12,0.057994200580000002,0.2899710029,False,,0.26098939915699998,120,1.304946995785,0.26098939915699998,120,1.304946995785,0.166733668536,240,0.83366834268000001,0.1244568506,240,0.62228425300199997,0.1244568506,240,0.62228425300199997
secondary,current_ratio,0.20000000000000001,45,43020188,87,6feec88c060b93de28c649c926c88cb052ea61904115f4cad58382117f63d270,0.023597640236,0.11798820118,False,,0.336452990314,120,1.6822649515720001,0.336452990314,120,1.6822649515720001,0.24873603158400001,240,1.2436801579179999,0.14871876737799999,240,0.74359383689199998,0.14871876737799999,240,0.74359383689199998
secondary,current_ratio,0.20000000000000001,46,43020189,88,3113223ada208475d30839b2ee9850cce90a1c69919999cc04a13915613f1c40,0.171482851715,0.857414258574,False,,0.093743742131999999,120,0.46871871065999998,0.093743742131999999,120,0.46871871065999998,0.054941652984999999,240,0.274708264925,0.087662044772,240,0.43831022386200003,0.087662044772,240,0.43831022386200003
secondary,current_ratio,0.20000000000000001,47,43020190,89,901806ca02857b39a3ff55110aac10b6f0490a4c06f864c3b973bc5a7ae748b4,0.087491250874999996,0.43745625437500002,False,,0.049456514326999997,120,0.24728257163699999,0.049456514326999997,120,0.24728257163699999,-0.0065962117270000004,240,-0.032981058636000003,0.113369492406,240,0.56684746202900005,0.113369492406,240,0.56684746202900005
secondary,current_ratio,0.20000000000000001,48,43020191,90,56b3bf8830b7527a3e0ca549b293e7530c1c4c7e07a6d3a84e63cf9d7be55067,0.017398260174000001,0.086991300869999996,False,,0.36599024143100001,120,1.829951207153,0.36599024143100001,120,1.829951207153,0.24850652244099999,240,1.242532612205,0.15378986033200001,240,0.76894930166200004,0.15378986033200001,240,0.76894930166200004
secondary,current_ratio,0.20000000000000001,49,43020192,91,4eb35d2478bc24f438c29bfce6957b87d0f2b5da16099ac05b94516e55d20320,0.029597040296,0.14798520147999999,False,,0.308940248975,120,1.5447012448749999,0.308940248975,120,1.5447012448749999,0.229472782662,240,1.14736391331,0.14238200531799999,240,0.71191002659199998,0.14238200531799999,240,0.71191002659199998
