ticker,year,target_year,next_year_nominal_try_return_pct,cpi_december_yoy_pct,next_year_real_return_pct,usdtry_start_try_per_usd,usdtry_end_try_per_usd,next_year_usd_return_pct,real_target_status,usd_target_status
DOAS,2023,2024,-12.0467655542,44.3800000000,-39.0821204836,29.5198001862,35.3052482605,-26.4596048890,derived,derived
DOHOL,2023,2024,31.4133000000,44.3800000000,-8.9809530406,29.5198001862,35.3052482605,9.8786879839,derived,derived
DSTKF,2023,2024,37.5732529546,44.3800000000,-4.7144667166,29.5198001862,35.3052482605,15.0292134535,derived,derived
EGEEN,2023,2024,-5.0002000000,44.3800000000,-34.2015514614,29.5198001862,35.3052482605,-20.5677554499,derived,derived
EKGYO,2023,2024,97.9651000000,44.3800000000,37.1139354481,29.5198001862,35.3052482605,65.5246877949,derived,derived
ENJSA,2023,2024,34.8663000000,44.3800000000,-6.5893475551,29.5198001862,35.3052482605,12.7658471193,derived,derived
ENKAI,2023,2024,49.5104438642,44.3800000000,3.5534311291,29.5198001862,35.3052482605,25.0102646512,derived,derived
EREGL,2023,2024,20.4885343968,44.3800000000,-16.5476282056,29.5198001862,35.3052482605,0.7441566160,derived,derived
FROTO,2023,2024,33.2306270220,44.3800000000,-7.7222419850,29.5198001862,35.3052482605,11.3982108086,derived,derived
GARAN,2023,2024,122.9205000000,44.3800000000,54.3984623909,29.5198001862,35.3052482605,86.3906626248,derived,derived
GUBRF,2023,2024,86.6059817945,44.3800000000,29.2464204146,29.5198001862,35.3052482605,56.0269809032,derived,derived
HALKB,2023,2024,35.2254000000,44.3800000000,-6.3406288960,29.5198001862,35.3052482605,13.0661016358,derived,derived
HEKTS,2023,2024,-46.4730290456,44.3800000000,-62.9263257000,29.5198001862,35.3052482605,-55.2444589686,derived,derived
ISCTR,2023,2024,48.6790000000,44.3800000000,2.9775592187,29.5198001862,35.3052482605,24.3150689524,derived,derived
ISGYO,2023,2024,20.9542000000,44.3800000000,-16.2251004294,29.5198001862,35.3052482605,1.1335138996,derived,derived
KCHOL,2023,2024,30.7964000000,44.3800000000,-9.4082282865,29.5198001862,35.3052482605,9.3628789857,derived,derived
KONTR,2023,2024,-42.5021670038,44.3800000000,-60.1760403129,29.5198001862,35.3052482605,-51.9242995074,derived,derived
KRDMD,2023,2024,14.0572390572,44.3800000000,-21.0020507984,29.5198001862,35.3052482605,-4.6332465384,derived,derived
KRVGD,2023,2024,0.8022000000,44.3800000000,-30.1827122870,29.5198001862,35.3052482605,-15.7161909648,derived,derived
KUYAS,2023,2024,54.5929798357,44.3800000000,7.0736804514,29.5198001862,35.3052482605,29.2599287581,derived,derived
LOGO,2023,2024,52.9881000000,44.3800000000,5.9621138662,29.5198001862,35.3052482605,27.9180395375,derived,derived
MAVI,2023,2024,53.0567685590,44.3800000000,6.0096748573,29.5198001862,35.3052482605,27.9754554243,derived,derived
MGROS,2023,2024,66.8089082697,44.3800000000,15.5346365631,29.5198001862,35.3052482605,39.4740409434,derived,derived
MIATK,2023,2024,16.7313019391,44.3800000000,-19.1499501738,29.5198001862,35.3052482605,-2.3973806022,derived,derived
MPARK,2023,2024,156.3758000000,44.3800000000,77.5701620723,29.5198001862,35.3052482605,114.3636643690,derived,derived
NETAS,2023,2024,59.9612000000,44.3800000000,10.7917994182,29.5198001862,35.3052482605,33.7484621749,derived,derived
NTGAZ,2023,2024,-13.3793000000,44.3800000000,-40.0050561020,29.5198001862,35.3052482605,-27.5737777817,derived,derived
ODAS,2023,2024,-26.9091000000,44.3800000000,-49.3760216096,29.5198001862,35.3052482605,-38.8864582538,derived,derived
