ticker,year,revenue,gross_profit,operating_income,ebitda,net_income,gross_profit_margin,ebitda_margin,net_profit_margin,roe,roa
KRDMD,2022,66718974139.0,5185707438.0,1223249120.0,6833798117,-1679514697,7.772462788765722,10.24266066016348,-2.517296943896286,-2.210207121736284,-1.433425974012343
KUYAS,2022,243220003.0,157229706.0,109631726.0,112411336,231185473,64.64505553023943,46.21796505775062,95.05199825196942,43.53716680581105,32.33250198990944
MAVI,2022,10591901000.0,5602107000.0,2022744000.0,2525768000,1439375000,52.89047735623662,23.84621986176041,13.58939249904243,55.54136406310231,16.65414363771506
MGROS,2022,74501977000.0,17799587000.0,2725020000.0,3903288000,2570283000,24.31140376010957,5.239173720181949,3.449952744207043,63.53141913068927,7.056589926144033
MIATK,2022,604452849.0,331650216.0,318726023.0,339130897,330654053,54.86783899665267,56.1054344538295,54.70303490951037,57.42941615702846,44.04305108919448
OYAKC,2022,12706677549.0,3707759007.0,3281179509.0,3515438429,4500006923,29.17961042689555,27.66607097286938,35.41450474088835,61.1064024747388,39.62010268922102
PASEU,2022,2452511274.0,304094758.0,139948218.0,90027954,1099516599,12.39932151276219,3.67084771248232,44.83227500955415,37.42388743971068,23.5173588407094
PETKM,2022,48898269000.0,4118883000.0,3406311000.0,4312424000,6580253000,8.423371796658078,8.819175173665146,13.45702646447464,34.58786074789851,12.0378661584175
PGSUS,2022,154127554444.0,26195749122.0,11707541095.0,37096012342,13750218852,16.99614920673892,24.06838444677865,8.921324224991801,14.34010151603534,3.964049302414276
SASA,2022,31060178000.0,6864949000.0,5639933000.0,5966227000,10589574000,22.10209162355734,19.20860530805715,34.0937324956734,64.48739622607499,20.18517161278861
SISE,2022,95349465000.0,33710080000.0,17420032000.0,22520816000,19345059000,35.3542413688425,23.61923687773183,20.28858683160938,25.27843599441778,11.7996908642912
TAVHL,2022,18308307000.0,7705233000.0,3954880000.0,5600870000,1899087000,42.08599407908115,30.59196025061192,10.3728160118792,8.197614141691277,2.251825700549241
TCELL,2022,52169979000.0,17089845000.0,19671614000.0,28960971000,11053193000,32.75800628556895,55.51271354738325,21.18688412736375,35.78120220603624,10.91513779145676
THYAO,2022,311169000.0,75641000.0,48811000.0,79764000,47429000,24.30865542518696,25.63365887990128,15.24219957643595,26.14291541268424,8.197611010576058
TOASO,2022,65545354000.0,12319055000.0,8929866000.0,10448687000,8562191000,18.79470358799191,15.94115579877714,13.06300214657472,75.68024968091613,21.20623695150178
TRALT,2022,5736733000.0,3494303000.0,2454021000.0,2742136000,4010236000,60.91102723449043,47.79960998707801,69.90452579891726,33.82369747841041,29.85862882949746
TRMET,2022,5931504000.0,3510103000.0,2373893000.0,2688243000,1584309000,59.17728454705586,45.32143955394787,26.71007218405315,24.76667743223399,10.835134277484
TSKB,2022,158447060900.7895,29236805594.78947,3568257000.0,18955421095,2869690000,21.48247707392389,15.98183165495174,-0.2990060422181947,26.736070365376,3.584559479409417
TTKOM,2022,48042285000.0,18464930000.0,9301008000.0,17385550000,4134846000,38.43474555800167,36.18801645258963,9.487124896878928,20.70499866326355,5.889392574205804
TUPRS,2022,481764656000.0,62776930000.0,45606647000.0,46541559000,41044621000,13.03062173992274,9.66064206254267,8.519641382741867,61.49626091939534,24.30224024080193
TURSG,2022,158447060900.7895,29236805594.78947,10267860592.31579,18955421095,962400801,21.48247707392389,15.98183165495174,-0.2990060422181947,49.3881403713351,3.495933813439277
ULKER,2022,28196847000.0,8408517000.0,5858897000.0,6207671000,-353101000,28.90454611423886,22.01547924844221,-1.252271220253811,-6.210109699316169,-0.932679017668578
