ticker,year,source,retrieved_at,revenue,gross_profit,operating_income,net_income,ebitda,total_assets,current_assets,non_current_assets,short_term_liabilities,long_term_liabilities,equity,working_capital,net_debt,roe,roa,gross_margin,net_margin,ebitda_margin,_bank_warning
ENJSA,2025,yfinance_unofficial,2026-06-10,233065038000.0,59506343000.0,34201260000.0,3171282000.0,40120456000.0,238598183000.0,66773135000.0,171825048000.0,84578944000.0,58250831000.0,95768408000.0,-17805809000.0,62964151000.0,3.3114,1.3291,25.5321,1.3607,17.2143,
GARAN,2022,yfinance_unofficial,2026-06-10,133006818000.0,,,58285378000.0,,1303578483000.0,,,,,152639385000.0,,,38.185,4.4712,,43.8213,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
GARAN,2023,yfinance_unofficial,2026-06-10,199324012000.0,,,86374997000.0,,2201713095000.0,,,,,244701191000.0,,,35.2982,3.9231,,43.334,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
GARAN,2024,yfinance_unofficial,2026-06-10,287168372000.0,,,91243136000.0,,3002579379000.0,,,,,329788449000.0,,200692114000.0,27.6672,3.0388,,31.7734,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
GARAN,2025,yfinance_unofficial,2026-06-10,410337394000.0,,,109816312000.0,,4547773680000.0,,,,,444072860000.0,,393952472000.0,24.7293,2.4147,,26.7624,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
HALKB,2022,yfinance_unofficial,2026-06-10,79282794000.0,,,18356304000.0,,1438351487000.0,,,,,90700850000.0,,,20.2383,1.2762,,23.1529,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
HALKB,2023,yfinance_unofficial,2026-06-10,61810665000.0,,,16830755000.0,,2297010551000.0,,,,,140843994000.0,,,11.9499,0.7327,,27.2295,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
HALKB,2024,yfinance_unofficial,2026-06-10,77493303000.0,,,22037821000.0,,3143858750000.0,,,,,166558967000.0,,,13.2312,0.701,,28.4384,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
HALKB,2025,yfinance_unofficial,2026-06-10,172310414000.0,,,27130696000.0,,4497070228000.0,,,,,218365901000.0,,,12.4244,0.6033,,15.7452,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
ISCTR,2021,yfinance_unofficial,2026-06-10,,,,,,,,,,,,,50786036000.0,,,,,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
ISCTR,2022,yfinance_unofficial,2026-06-10,153322158000.0,,,61598670000.0,,1715431569000.0,,,,,191250928000.0,,52996893000.0,32.2083,3.5909,,40.176,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
ISCTR,2023,yfinance_unofficial,2026-06-10,234448608000.0,,,72253773000.0,,2954742571000.0,,,,,268197139000.0,,,26.9405,2.4453,,30.8186,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
