ticker,year,market_cap,enterprise_value,pe,pb,ev_ebitda,year_end_close,shares_outstanding,source_price,source_shares,source_financials,validation_status,validation_notes
PGSUS,2022,10046620776.5386,171404711588.5386,0.7307,0.086,4.6206,98.207718,102299707.0,yahoo_chart_api,manual,modeling_dataset,accepted,
PGSUS,2023,13594333286.217,174952424098.217,0.6502,0.1163,8.3747,132.887314,102299707.0,yahoo_chart_api,manual,modeling_dataset,accepted,
PGSUS,2024,106500000000.0,,8.0163,,,213.0,500000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
PGSUS,2025,95849998500.0,257208089312.0,6.9708,0.8203,8.3718,191.699997,500000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
SASA,2020,334060890.0,121997234890.0,1.0701,0.0022,104.6149,0.402483,830000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
SASA,2021,1574147610.0,123237321610.0,2.2571,0.0102,44.2754,1.418151,1110000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
SASA,2022,13223560000.0,134886734000.0,1.2487,0.0857,22.6084,5.903375,2240000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
SASA,2023,24123096884.9005,145786270884.9005,1.326,0.1563,20.2945,4.555,5295959799.1,yahoo_chart_api,manual,modeling_dataset,accepted,
SASA,2024,21554556382.337,,1.1792,,,4.07,5295959799.1,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
SASA,2025,14722768241.498,136385942241.498,,0.0954,17.9401,2.78,5295959799.1,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income
SISE,2020,20292822083.2704,141066048083.2704,9.4913,0.0837,28.2293,6.624683,3063214056.17,yahoo_chart_api,manual,modeling_dataset,accepted,
SISE,2021,37768963704.0396,158542189704.0396,4.1353,0.1557,18.6384,12.329848,3063214056.17,yahoo_chart_api,manual,modeling_dataset,accepted,
SISE,2022,123548180614.3227,244321406614.3227,6.3865,0.5093,10.8487,40.332859,3063214056.17,yahoo_chart_api,manual,modeling_dataset,accepted,
SISE,2023,134077265203.532,254850491203.532,7.831,0.5527,9.8058,43.770126,3063214056.17,yahoo_chart_api,manual,modeling_dataset,accepted,
SISE,2024,123157345132.896,,24.5214,,,40.205269,3063214056.17,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
SISE,2025,116057770673.4794,236830996673.4794,11.7497,0.4784,10.7008,37.887581,3063214056.17,yahoo_chart_api,manual,modeling_dataset,accepted,
TAVHL,2020,7745156250.0,95625924250.0,,0.1004,348.9615,21.32,363281250.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income
TAVHL,2021,11879297238.2812,99760065238.2812,25.4,0.154,71.053,32.700001,363281250.0,yahoo_chart_api,manual,modeling_dataset,accepted,
TAVHL,2022,33966796875.0,121847564875.0,17.8859,0.4404,21.7551,93.5,363281250.0,yahoo_chart_api,manual,modeling_dataset,accepted,
TAVHL,2023,39052734375.0,126933502375.0,5.1862,0.5064,12.4575,107.5,363281250.0,yahoo_chart_api,manual,modeling_dataset,accepted,
TAVHL,2024,99539062500.0,,15.1783,,,274.0,363281250.0,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
TAVHL,2025,108348632812.5,196229400812.5,38.4777,1.4049,7.6418,298.25,363281250.0,yahoo_chart_api,manual,modeling_dataset,accepted,
