model,ticker,year,full_pooled_ic,year_full_ic,year_loo_ic,loo_pooled_ic,delta_pooled_ic,abs_delta_pooled_ic,sign,status
elasticnet,AGESA,2025,-0.0198241823,-0.0179559306,-0.0316942551,-0.0244036238,-0.0045794415,0.0045794415,negative,complete
elasticnet,AGHOL,2025,-0.0198241823,-0.0179559306,-0.0294303797,-0.0236489987,-0.0038248164,0.0038248164,negative,complete
elasticnet,AKBNK,2025,-0.0198241823,-0.0179559306,-0.0225413827,-0.0213526664,-0.001528484,0.001528484,negative,complete
elasticnet,AKENR,2025,-0.0198241823,-0.0179559306,-0.0173320351,-0.0196162171,0.0002079652,0.0002079652,positive,complete
elasticnet,AKSA,2025,-0.0198241823,-0.0179559306,-0.0228334956,-0.0214500373,-0.001625855,0.001625855,negative,complete
elasticnet,AKSEN,2025,-0.0198241823,-0.0179559306,-0.0333495618,-0.0249553927,-0.0051312104,0.0051312104,negative,complete
elasticnet,ALARK,2025,-0.0198241823,-0.0179559306,-0.0254625122,-0.0223263762,-0.0025021939,0.0025021939,negative,complete
elasticnet,ALBRK,2025,-0.0198241823,-0.0179559306,-0.0333252191,-0.0249472785,-0.0051230962,0.0051230962,negative,complete
elasticnet,ANHYT,2025,-0.0198241823,-0.0179559306,-0.0170399221,-0.0195188462,0.0003053362,0.0003053362,positive,complete
elasticnet,ARCLK,2025,-0.0198241823,-0.0179559306,-0.0373661149,-0.0262942438,-0.0064700614,0.0064700614,negative,complete
elasticnet,ASELS,2025,-0.0198241823,-0.0179559306,0.0173320351,-0.0080615271,0.0117626552,0.0117626552,positive,complete
elasticnet,ASTOR,2025,-0.0198241823,-0.0179559306,-0.0217137293,-0.0210767819,-0.0012525996,0.0012525996,negative,complete
elasticnet,BERA,2025,-0.0198241823,-0.0179559306,-0.0159688413,-0.0191618192,0.0006623631,0.0006623631,positive,complete
elasticnet,BIMAS,2025,-0.0198241823,-0.0179559306,-0.019255112,-0.0202572428,-0.0004330605,0.0004330605,negative,complete
elasticnet,BRSAN,2025,-0.0198241823,-0.0179559306,-0.0003164557,-0.0139443574,0.005879825,0.005879825,positive,complete
elasticnet,BTCIM,2025,-0.0198241823,-0.0179559306,0.0084469328,-0.0110232279,0.0088009545,0.0088009545,positive,complete
elasticnet,CANTE,2025,-0.0198241823,-0.0179559306,-0.0306231743,-0.0240465969,-0.0042224146,0.0042224146,negative,complete
elasticnet,CCOLA,2025,-0.0198241823,-0.0179559306,-0.0197663096,-0.020427642,-0.0006034597,0.0006034597,negative,complete
elasticnet,CEMTS,2025,-0.0198241823,-0.0179559306,-0.013315482,-0.0182773661,0.0015468162,0.0015468162,positive,complete
elasticnet,CIMSA,2025,-0.0198241823,-0.0179559306,-0.0067916261,-0.0161027475,0.0037214348,0.0037214348,positive,complete
elasticnet,DEVA,2025,-0.0198241823,-0.0179559306,-0.019352483,-0.0202896998,-0.0004655174,0.0004655174,negative,complete
elasticnet,DOAS,2025,-0.0198241823,-0.0179559306,-0.0165287244,-0.0193484469,0.0004757354,0.0004757354,positive,complete
elasticnet,DOHOL,2025,-0.0198241823,-0.0179559306,-0.0241480039,-0.0218882068,-0.0020640244,0.0020640244,negative,complete
elasticnet,DSTKF,2025,-0.0198241823,-0.0179559306,-0.0319133398,-0.0244766521,-0.0046524697,0.0046524697,negative,complete
elasticnet,EKGYO,2025,-0.0198241823,-0.0179559306,-0.0385589094,-0.0266918419,-0.0068676596,0.0068676596,negative,complete
elasticnet,ENJSA,2025,-0.0198241823,-0.0179559306,-0.0048928919,-0.0154698361,0.0043543462,0.0043543462,positive,complete
elasticnet,ENKAI,2025,-0.0198241823,-0.0179559306,0.0020691334,-0.013149161,0.0066750213,0.0066750213,positive,complete
elasticnet,EREGL,2025,-0.0198241823,-0.0179559306,-0.0222736125,-0.0212634096,-0.0014392273,0.0014392273,negative,complete
elasticnet,FROTO,2025,-0.0198241823,-0.0179559306,-0.0211781889,-0.0208982684,-0.0010740861,0.0010740861,negative,complete
elasticnet,GARAN,2025,-0.0198241823,-0.0179559306,-0.0223953262,-0.0213039809,-0.0014797985,0.0014797985,negative,complete
elasticnet,GUBRF,2025,-0.0198241823,-0.0179559306,-0.0150194742,-0.0188453635,0.0009788188,0.0009788188,positive,complete
elasticnet,HALKB,2025,-0.0198241823,-0.0179559306,-0.0428919182,-0.0281361782,-0.0083119959,0.0083119959,negative,complete
elasticnet,HEKTS,2025,-0.0198241823,-0.0179559306,-0.0216163583,-0.0210443249,-0.0012201426,0.0012201426,negative,complete
elasticnet,ISCTR,2025,-0.0198241823,-0.0179559306,-0.0213972736,-0.0209712967,-0.0011471143,0.0011471143,negative,complete
elasticnet,ISGYO,2025,-0.0198241823,-0.0179559306,-0.0261684518,-0.0225616894,-0.0027375071,0.0027375071,negative,complete
elasticnet,KCHOL,2025,-0.0198241823,-0.0179559306,-0.0223466407,-0.0212877524,-0.00146357,0.00146357,negative,complete
elasticnet,KONTR,2025,-0.0198241823,-0.0179559306,-0.0053797468,-0.0156321211,0.0041920613,0.0041920613,positive,complete
elasticnet,KRDMD,2025,-0.0198241823,-0.0179559306,0.0054527751,-0.0120212804,0.0078029019,0.0078029019,positive,complete
elasticnet,KRVGD,2025,-0.0198241823,-0.0179559306,-0.0128773126,-0.0181313096,0.0016928727,0.0016928727,positive,complete
elasticnet,KUYAS,2025,-0.0198241823,-0.0179559306,-0.0428919182,-0.0281361782,-0.0083119959,0.0083119959,negative,complete
elasticnet,LOGO,2025,-0.0198241823,-0.0179559306,-0.0390701071,-0.0268622412,-0.0070380588,0.0070380588,negative,complete
elasticnet,MAVI,2025,-0.0198241823,-0.0179559306,-0.017721519,-0.0197460451,7.81372e-05,7.81372e-05,positive,complete
elasticnet,MGROS,2025,-0.0198241823,-0.0179559306,-0.0166017527,-0.0193727897,0.0004513926,0.0004513926,positive,complete
elasticnet,MIATK,2025,-0.0198241823,-0.0179559306,-0.0133398247,-0.0182854804,0.001538702,0.001538702,positive,complete
elasticnet,MPARK,2025,-0.0198241823,-0.0179559306,-0.0168695229,-0.0194620464,0.0003621359,0.0003621359,positive,complete
elasticnet,NETAS,2025,-0.0198241823,-0.0179559306,-0.0195715677,-0.020362728,-0.0005385457,0.0005385457,negative,complete
elasticnet,NTGAZ,2025,-0.0198241823,-0.0179559306,-0.0331791626,-0.024898593,-0.0050744107,0.0050744107,negative,complete
elasticnet,ODAS,2025,-0.0198241823,-0.0179559306,-0.0206183057,-0.0207116407,-0.0008874584,0.0008874584,negative,complete
elasticnet,OTKAR,2025,-0.0198241823,-0.0179559306,-0.0192794547,-0.020265357,-0.0004411747,0.0004411747,negative,complete
elasticnet,OYAKC,2025,-0.0198241823,-0.0179559306,-0.0198393379,-0.0204519848,-0.0006278024,0.0006278024,negative,complete
elasticnet,PASEU,2025,-0.0198241823,-0.0179559306,-0.0464703019,-0.0293289727,-0.0095047904,0.0095047904,negative,complete
elasticnet,PETKM,2025,-0.0198241823,-0.0179559306,0.0052823759,-0.0120780802,0.0077461022,0.0077461022,positive,complete
elasticnet,PGSUS,2025,-0.0198241823,-0.0179559306,-0.0286027264,-0.0233731143,-0.0035489319,0.0035489319,negative,complete
elasticnet,PRKME,2025,-0.0198241823,-0.0179559306,0.010248296,-0.0104227735,0.0094014089,0.0094014089,positive,complete
elasticnet,RGYAS,2025,-0.0198241823,-0.0179559306,-0.0215676728,-0.0210280964,-0.0012039141,0.0012039141,negative,complete
elasticnet,SAHOL,2025,-0.0198241823,-0.0179559306,-0.0171859786,-0.0195675317,0.0002566507,0.0002566507,positive,complete
elasticnet,SASA,2025,-0.0198241823,-0.0179559306,0.0176971762,-0.0079398134,0.011884369,0.011884369,positive,complete
elasticnet,SELEC,2025,-0.0198241823,-0.0179559306,-0.0172833496,-0.0195999886,0.0002241937,0.0002241937,positive,complete
elasticnet,SISE,2025,-0.0198241823,-0.0179559306,-0.0130963973,-0.0182043379,0.0016198444,0.0016198444,positive,complete
elasticnet,SKBNK,2025,-0.0198241823,-0.0179559306,-0.0358568647,-0.0257911603,-0.005966978,0.005966978,negative,complete
elasticnet,SMRTG,2025,-0.0198241823,-0.0179559306,-0.011587147,-0.0177012545,0.0021229279,0.0021229279,positive,complete
elasticnet,SOKM,2025,-0.0198241823,-0.0179559306,-0.0104186952,-0.0173117705,0.0025124118,0.0025124118,positive,complete
elasticnet,TAVHL,2025,-0.0198241823,-0.0179559306,-0.0174780915,-0.0196649026,0.0001592797,0.0001592797,positive,complete
elasticnet,TBORG,2025,-0.0198241823,-0.0179559306,-0.0120009737,-0.0178391967,0.0019849856,0.0019849856,positive,complete
elasticnet,TCELL,2025,-0.0198241823,-0.0179559306,-0.0199123661,-0.0204763275,-0.0006521452,0.0006521452,negative,complete
elasticnet,THYAO,2025,-0.0198241823,-0.0179559306,0.0009250243,-0.0135305307,0.0062936517,0.0062936517,positive,complete
elasticnet,TOASO,2025,-0.0198241823,-0.0179559306,-0.0112706913,-0.0175957692,0.0022284131,0.0022284131,positive,complete
elasticnet,TRALT,2025,-0.0198241823,-0.0179559306,-0.0255355404,-0.0223507189,-0.0025265366,0.0025265366,negative,complete
elasticnet,TRMET,2025,-0.0198241823,-0.0179559306,-0.0463972736,-0.02930463,-0.0094804477,0.0094804477,negative,complete
elasticnet,TSKB,2025,-0.0198241823,-0.0179559306,-0.0008763389,-0.0141309851,0.0056931973,0.0056931973,positive,complete
elasticnet,TTKOM,2025,-0.0198241823,-0.0179559306,-0.018962999,-0.0201598718,-0.0003356895,0.0003356895,negative,complete
elasticnet,TUPRS,2025,-0.0198241823,-0.0179559306,0.0020691334,-0.013149161,0.0066750213,0.0066750213,positive,complete
elasticnet,TURSG,2025,-0.0198241823,-0.0179559306,-0.0063777994,-0.0159648053,0.0038593771,0.0038593771,positive,complete
elasticnet,ULKER,2025,-0.0198241823,-0.0179559306,-0.0169182084,-0.0194782749,0.0003459074,0.0003459074,positive,complete
elasticnet,ULUSE,2025,-0.0198241823,-0.0179559306,-0.0185004869,-0.0200057011,-0.0001815187,0.0001815187,negative,complete
elasticnet,VAKBN,2025,-0.0198241823,-0.0179559306,-0.0365384615,-0.0260183593,-0.006194177,0.006194177,negative,complete
elasticnet,VESTL,2025,-0.0198241823,-0.0179559306,-0.0132667965,-0.0182611376,0.0015630447,0.0015630447,positive,complete
elasticnet,YKBNK,2025,-0.0198241823,-0.0179559306,-0.0225413827,-0.0213526664,-0.001528484,0.001528484,negative,complete
elasticnet,ZOREN,2025,-0.0198241823,-0.0179559306,-0.0057935735,-0.0157700633,0.004054119,0.004054119,positive,complete
gradient_boosting,AEFES,2023,-0.1052534007,-0.1004172821,-0.1010906347,-0.1054778516,-0.0002244509,0.0002244509,negative,complete
gradient_boosting,AGESA,2023,-0.1052534007,-0.1004172821,-0.104961414,-0.1067681113,-0.0015147106,0.0015147106,negative,complete
gradient_boosting,AGHOL,2023,-0.1052534007,-0.1004172821,-0.0932638703,-0.1028689301,0.0023844706,0.0023844706,positive,complete
gradient_boosting,AKBNK,2023,-0.1052534007,-0.1004172821,-0.1024411323,-0.1059280175,-0.0006746167,0.0006746167,negative,complete
gradient_boosting,AKENR,2023,-0.1052534007,-0.1004172821,-0.098084086,-0.1044756687,0.000777732,0.000777732,positive,complete
gradient_boosting,AKSA,2023,-0.1052534007,-0.1004172821,-0.1008958785,-0.1054129329,-0.0001595321,0.0001595321,negative,complete
gradient_boosting,AKSEN,2023,-0.1052534007,-0.1004172821,-0.1298415172,-0.1150614791,-0.0098080784,0.0098080784,negative,complete
gradient_boosting,ALARK,2023,-0.1052534007,-0.1004172821,-0.0942619958,-0.1032016386,0.0020517621,0.0020517621,positive,complete
gradient_boosting,ALBRK,2023,-0.1052534007,-0.1004172821,-0.097499224,-0.1042807147,0.000972686,0.000972686,positive,complete
gradient_boosting,ANHYT,2023,-0.1052534007,-0.1004172821,-0.1047051592,-0.1066826931,-0.0014292924,0.0014292924,negative,complete
gradient_boosting,ARCLK,2023,-0.1052534007,-0.1004172821,-0.1111570952,-0.1088333384,-0.0035799377,0.0035799377,negative,complete
gradient_boosting,ASELS,2023,-0.1052534007,-0.1004172821,-0.1030138521,-0.106118924,-0.0008655233,0.0008655233,negative,complete
gradient_boosting,ASTOR,2023,-0.1052534007,-0.1004172821,-0.0968042311,-0.1040490504,0.0012043503,0.0012043503,positive,complete
gradient_boosting,BERA,2023,-0.1052534007,-0.1004172821,-0.1215522069,-0.1122983756,-0.0070449749,0.0070449749,negative,complete
gradient_boosting,BIMAS,2023,-0.1052534007,-0.1004172821,-0.0895269859,-0.101623302,0.0036300987,0.0036300987,positive,complete
gradient_boosting,BRSAN,2023,-0.1052534007,-0.1004172821,-0.08599703,-0.10044665,0.0048067507,0.0048067507,positive,complete
